eButterfly_species,GBIF_species,GBIF_verbatimScientificName,LepTraits_name,BAMONA_name,Chowdhury_name,aveWingspan,black,gray,white,brown,red,orange,yellow,green,blue,pink,purple,eyespot,stripe,checker,tail,band,spot,colorDiversity,featureDiversity,is_migratory,notes
Boloria freija,"Boloria freija, Clossiana freija",,Boloria freija,,,3.645833334,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Boloria frigga,"Boloria frigga, Clossiana frigga",,Boloria frigga,,,4.2125,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,FALSE,
Boloria selene,,"Boloria myrina, Boloria myrina atrocostalis, Boloria myrina myrina, Boloria myrina nebraskensis, Boloria myrina sabulocollis, Boloria myrina tollandensis, Boloria myrina terraenovae",Boloria selene,,,4.99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,TRUE,
Brephidium exilis,Brephidium exilis,,Brephidium exilis,,Braphidium exilis,1.7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,TRUE,
,Burnsius albezens,,Pyrgus albescens,Burnsius albescens,,2.6835,,,,,,,,,,,,0,0,0,0,0,1,,1,,
Cogia calchas,Caicella calchas,,Cogia calchas,Cogia calchas,,3.17915,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Calephelis nemesis,Calephelis nemesis,,Calephelis nemesis,,,2.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,FALSE,
Calephelis perditalis,Calephelis perditalis,,NA,,,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,FALSE,
Calephelis virginiensis,Calephelis virginiensis,,Calephelis virginiensis,,,1.875,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,FALSE,
Strymon istapa,Callicista columella,"Strymon columella, Strymon istapa, Strymon istapa clarionica, Strymon istapa clenchi, Strymon istapa cybira, Strymon istapa istapa, Strymon istapa modesta",Strymon istapa,Strymon istapa,,2.41665,1,1,0,s,0,0,0,0,1,0,0,0,0,0,1,0,1,3,2,FALSE,
Callophrys augustinus,Incisalia irioides,"Callophrys augustinus, Callophrys augustinus annetteae, Callophrys augustinus concava, Callophrys augustinus iroides, ",Callophrys augustinus,Callophrys augustinus,,2.46665,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,
