"city","road","grass_shrub","tree","building","parking_lot","water","barren","agriculture","other"
"atlanta",14.2652803103693,12.3328441575945,58.2482171387366,9.66350545484704,4.66109797299243,0.441093296257345,0.309574520778642,0.0069978240510893,0.0713893243730468
"boston",25.5522823077128,13.3388328071266,27.148121073994,23.6044041706256,6.88644734514729,2.68349797839552,0.705800588245423,0.0324020230132629,0.048211705739541
"charlotte",12.9254224628116,17.3004318124724,52.847984058377,9.38592459505007,6.04109311333646,0.684369378919442,0.611145414694211,0.132958624720348,0.0706705396185751
"chicago",30.899590677736,10.9447163204854,21.8602108684587,27.9063578514654,5.38140602055493,1.99196476526654,0.103689620951626,0.000117087812011838,0.911946787269343
"dallas",11.9922891226826,23.0926228718476,36.5943718559381,9.74281634911689,6.55542628279427,10.9817071761523,0.569231466486367,0.33595021465737,0.135584660324509
"dc",18.8693867851064,13.4422423137946,43.6781352439562,17.8888212551214,4.09897860601221,1.35534347095254,0.169146468059178,0.0082525606206422,0.489693296376754
"denton",7.05827974599944,50.288761917495,19.9858936720833,4.99211741614658,1.61360545733532,7.51120490570919,1.04751090470522,7.42640600599039,0.0762199745355713
"denver",21.3431022891148,25.8193101414358,18.3768004378785,14.795344291959,7.55150445751304,1.43840084376586,1.34727613087368,9.15013583730515,0.178125570154282
"des_moines",14.6225199086942,24.3259976504566,37.4033753487137,7.77398875679158,3.30184558889638,2.90309646294441,0.783138510992872,8.53015481675564,0.355882955754528
"detroit",26.606137953882,17.0853723883235,33.278155634462,14.9104020153015,7.56488474938801,0.270867286702434,0.208361589206664,0.000944950517944055,0.0748734322159201
"houston",13.8460808295663,23.7657275575248,35.1965063082486,11.9105241392885,8.25556811941229,5.86307492142169,0.596072487791798,0.00345114569002496,0.562994491055992
"LA",24.4803405397886,25.6000135917942,20.4939506305849,21.6589813946798,5.97781646029983,0.410424808095547,1.04663349473861,0.00221356743674037,0.329625512581762
"miami",24.644182481366,23.1093725220701,23.8899402653698,20.3182322778453,6.52503039594016,1.22841888248665,0.224877094676746,NA,0.059946080245282
"minneapolis",23.2451969954744,10.8998782857796,36.9729471652691,17.6790913798089,5.10755905829506,5.82177272391046,0.0940091050306303,0.00141215393822835,0.178133132493662
"ny",24.0946307473736,9.4964343269109,31.8329746732662,27.8520947887384,4.87506366677666,1.24824912194224,0.390614106009036,0.0018014178359314,0.208137151147096
"philadelphia",25.0610659671934,17.2158593603273,24.5653612770686,21.8393567030675,6.27097918106297,4.14013921088169,0.667539083456409,0.0401744356949174,0.19952478124731
"phoenix",20.1157916847678,42.9020156728139,5.89085123955106,15.0451166271226,6.89057196461563,0.409163141914633,7.59633791789794,0.794158260570676,0.355993490745736
"raleigh",12.6485418865889,15.6318250340494,56.9216083476615,7.68014047789545,4.65050081629162,1.27634651951718,0.401274240372248,0.720876769961489,0.0688859076622489
"riverside",20.6639177410094,32.2374957888294,21.153457430403,12.751661929594,6.50797868554536,0.173144356556852,0.662494246710542,5.5516277657308,0.298222055620667
"sd",20.1365877565342,44.7157169281594,12.6292114274104,13.7155804133049,4.88343383421312,0.768398727789733,2.53894112682254,0.336113446783723,0.276016338982022
"seattle",16.1083759706149,8.03267373099849,38.7590640193593,14.3498330268829,6.56155656890905,15.6607475631082,0.122528431213167,0.000814786908003962,0.404405902005967
"sf",33.8295498971805,12.9641119286222,15.7011029432858,29.3895003602167,4.94369719178526,1.98213423664801,0.935170014892234,0.0126219265813676,0.242111500788051
"st_louis",26.735641561192,17.1583036944658,23.406017225802,18.0745859227165,7.20180650017474,6.71079283337444,0.300265201144958,0.0019285230902654,0.410658538039241
"tampa",14.658415169406,25.5570006036484,41.7612464275957,8.45418570449366,4.71199100907436,3.61881485334943,1.02649672901095,0.00673992242545597,0.205109580996036
