locality,scientificName,scientificNameAuthorship,vernacularName,taxonRank,establishmentMeans,degreeOfEstablishment,isHybrid,pathway,habitat,Biocontrol,associatedTaxa,eventRemarks,IntroDateNumber,taxonRemarks,kingdom,phylum,class,order,family,taxonomicStatus,ITIS_TSN,GBIF_taxonKey,taxonID,Authority,WebLink,associatedReferences,eventDate,modified,Update_Remarks,occurrenceRemarks,occurrenceID
L48,Sesia apiformis,"(Clerck, 1759)",Clear-winged moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1880 (Aukema and McCullough (2009)),1880,,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Accepted GBIF,,5141493,https://www.gbif.org/species/5141493,Mattson et al. (1994),https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf,"Mattson et al. (1994), https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf",2017-01-26,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia5043
L48,Simplicia cornicalis,"(Fabricius, 1794)",Tiki hut litter moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 2007,2007,Other name(s): Simplicia caeneusalis,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,940304,9610080,https://www.gbif.org/species/9610080,Lafontaine and Schmidt (2010),https://doi.org/10.3897/zookeys.40.414,"Lafontaine and Schmidt (2010), https://doi.org/10.3897/zookeys.40.414",2017-01-02,2022-05-18,Changed vernacularName,,USRIIS-L48-Animalia4724
L48,Sitochroa palealis,"(Denis and Schiffermuller, 1775)",Greenish-yellow Sitochroa moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 2004,2004,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Accepted GBIF,,1886579,https://www.gbif.org/species/1886579,Passoa et al. (2008),https://doi.org/10.4289/07-089.1,"Passoa et al. (2008), https://doi.org/10.4289/07-089.1",2017-01-17,2022-08-02,Changed vernacularName,,USRIIS-L48-Animalia4889
L48,Sitotroga cerealella,"(Olivier, 1789)",Angoumois grain moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 1728,1728,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Accepted GBIF,,1849209,https://www.gbif.org/species/1849209,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2017-01-03,2021-10-29,Added scientificNameAuthorship; Updated websiteURL,,USRIIS-L48-Animalia4761
L48,Sphinx pinastri,"Linnaeus, 1758",Larch hawk moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,Other name(s): Sphinx morio,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Accepted GBIF,,5124233,https://www.gbif.org/species/5124233,University of Georgia Center for Invasive Species and Ecosystem Health - insects,https://www.invasive.org/species/insects.cfm,"University of Georgia Center for Invasive Species and Ecosystem Health - insects, https://www.invasive.org/species/insects.cfm",2012-06-26,2021-10-29,Added scientificNameAuthorship; Changed Source Type; Updated websiteURL,,USRIIS-L48-Animalia432
L48,Spilonota laricana,"(Heinemann, 1863)",Larch shoot tortricid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: around 2010,1975,Other name(s): Spilonota lariciana,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,5771357,https://www.gbif.org/species/5771357,Gilligan et al. (2020),https://doi.org/10.3390/insects11090594,"Gilligan et al. (2020), https://doi.org/10.3390/insects11090594",2020-12-03,2022-02-22,Removed associatedTaxa comment: 'biocontrol for: Agrilus planipennis'; Added scientificNameAuthorship,,USRIIS-L48-Animalia13033
L48,Spilonota ocellana,"(Denis and Schiffermüller, 1775)",Eye-spotted bud moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1840,1840,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,5103066,https://www.gbif.org/species/5103066,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2017-01-03,2022-02-22,Removed associatedTaxa comment: 'biocontrol for: Agrilus planipennis'; Added scientificNameAuthorship; Updated websiteURL,,USRIIS-L48-Animalia4762
L48,Spodoptera androgea,"Stoll, 1780",Andregea armyworm moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1987,1987,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,940320,5109923,https://www.gbif.org/species/5109923,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-01,2022-08-02,"Updated scientificNameAuthorship, Updated vernacularName",,USRIIS-L48-Animalia14229
L48,Spodoptera exigua,"(Hubner, 1808)",Beet armyworm,Species,"introduced (alien, exotic, non-native, nonindigenous)",widespread invasive (category E),FALSE,,,,,approx. date of introduction: 1876,1876,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,117471,8352161,https://www.gbif.org/species/8352161,Crabo and Holden (2020),https://doi.org/10.18473/lepi.74i2.a4,"Crabo and Holden (2020), https://doi.org/10.18473/lepi.74i2.a4",2020-10-14,2022-05-09,Changed degreeOfEstablishment based on GBIF map,ITIS lists as native to L48,USRIIS-L48-Animalia12982
L48,Spoladea recurvalis,"(Fabricius, 1775)",Beet webworm moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Accepted GBIF,,1886251,https://www.gbif.org/species/1886251,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia15252
