locality,scientificName,scientificNameAuthorship,vernacularName,taxonRank,establishmentMeans,degreeOfEstablishment,isHybrid,pathway,habitat,Biocontrol,associatedTaxa,eventRemarks,IntroDateNumber,taxonRemarks,kingdom,phylum,class,order,family,taxonomicStatus,ITIS_TSN,GBIF_taxonKey,taxonID,Authority,WebLink,associatedReferences,eventDate,modified,Update_Remarks,occurrenceRemarks,occurrenceID
L48,Acentria ephemerella,"(Denis and Schiffermuller, 1775)",European water moth,Species,introduced: assisted colonization,established (category C3),FALSE,biological control,,Yes,"feeds on: Lemna, Sparganium, Potamogeton, Myriophyllum, Hydrilla verticillata, Elodea canadensis, Ceratophyllum demersum, Anacharis canadensis, Trapa natans",approx. date of introduction: 1927,1927,Other name(s): Acentria nivea; Phryganea nivea; Tinea ephemerella,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Accepted GBIF,,4531687,https://www.gbif.org/species/4531687,US Geological Survey Nonindigenous Aquatic Species (NAS) Program (2017gh),https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?SpeciesID=2362,"US Geological Survey Nonindigenous Aquatic Species (NAS) Program (2017gh), https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?SpeciesID=2362",2017-03-14,2022-06-27,"Added associatedTaxa, added occurrenceRemarks; Added scientificNameAuthorship, Updated vernacularName, Added Biocontrol, Added associatedTaxa, Added Other Names",Native to: Europe; US distribution: NY (Lake Ontario),USRIIS-L48-Animalia5168
L48,Achaea ablunaris,"(Guenée, 1852)",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: before 1989,1984,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,937577,8274236,https://www.gbif.org/species/8274236,Frank and McCoy (1992),https://www.jstor.org/stable/3495477,"Frank and McCoy (1992), https://www.jstor.org/stable/3495477",2019-08-13,2019-08-13,,,USRIIS-L48-Animalia12289
L48,Achroia grisella,"(Fabricius, 1794)",Lesser wax moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",widespread invasive (category E),FALSE,unintentional,,,,approx. date of introduction: 1565?,1565,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1870988,https://www.gbif.org/species/1870988,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2021-03-10,2022-05-09,Changed degreeOfEstablishment based on GBIF map; Added scientificNameAuthorship; Updated Source Type,,USRIIS-L48-Animalia13065
L48,Acleris comariana,"(Lienig and Zeller, 1846)",Strawberry tortrix,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,unintentional,,,,approx. date of introduction: 1972 (Seebens (2021)),1972,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1739816,https://www.gbif.org/species/1739816,University of Georgia Center for Invasive Species and Ecosystem Health - insects,https://www.invasive.org/species/insects.cfm,"University of Georgia Center for Invasive Species and Ecosystem Health - insects, https://www.invasive.org/species/insects.cfm",2012-06-26,2022-03-23,"Added eventRemarks; Removed associatedTaxa ""biocontrol for: Myriophyllum spicatum; Hydrilla verticillata""; Added scientificNameAuthorship; Changed Source Type; Updated websiteURL",,USRIIS-L48-Animalia89
L48,Acleris forsskaleana,"(Linnaeus, 1758)",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1932,1932,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1739922,https://www.gbif.org/species/1739922,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia5645
L48,Acleris holmiana,"(Linnaeus, 1758)",Golden leafroller moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1974,1974,Other name(s): Croesia holmiana,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1740069,https://www.gbif.org/species/1740069,Gilligan et al. (2020),https://doi.org/10.3390/insects11090594,"Gilligan et al. (2020), https://doi.org/10.3390/insects11090594",2020-12-02,2021-10-29,Added scientificNameAuthorship,Also see: http://idtools.org/id/leps/tortai/Acleris_holmiana.htm,USRIIS-L48-Animalia13017
L48,Acleris rhombana,"(Denis and Schiffermuller, 1775)",Tortricid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1740120,https://www.gbif.org/species/1740120,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14360
L48,Acleris variegana,"(Denis and Schiffermüller, 1775)",Leaf roller,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1920 (Aukema and McCullough (2009)),1920,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1739833,https://www.gbif.org/species/1739833,Mattson et al. (1994),https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf,"Mattson et al. (1994), https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf",2017-01-26,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia4922
L48,Acrobasis suavella,"(Zincken, 1818)",Pyralid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,4531145,https://www.gbif.org/species/4531145,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14361
L48,Acrolepiopsis assectella,"(Zeller, 1839)",Leek moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 1993,1993,,Animalia,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,Accepted GBIF,,4525339,https://www.gbif.org/species/4525339,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2022-05-09,Changed vernacularName; Changed degreeOfEstablishment,,USRIIS-L48-Animalia14362
L48,Agapeta zoegana,"(Linnaeus, 1767)",Sulfur knapweed root moth,Species,introduced: assisted colonization,established (category C3),FALSE,biological control,,Yes,infests: knapweed,approx. date of introduction: 1984,1984,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,5102931,https://www.gbif.org/species/5102931,Wilson and Randall (2005),https://digitalcommons.unl.edu/usdafsfacpub/113/?utm_source=digitalcommons.unl.edu%2Fusdafsfacpub%2F113&utm_medium=PDF&utm_campaign=PDFCoverPages,"Wilson and Randall (2005), https://digitalcommons.unl.edu/usdafsfacpub/113/?utm_source=digitalcommons.unl.edu%2Fusdafsfacpub%2F113&utm_medium=PDF&utm_campaign=PDFCoverPages",2019-12-13,2022-08-02,"Added associatedTaxa, Updated family; Added scientificNameAuthorship",,USRIIS-L48-Animalia12556
L48,Aglaonice hirtipalpis,"Walker, 1858",Noctuid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1984,1984,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,,1798305,https://www.gbif.org/species/1798305,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14376
L48,Aglossa caprealis,"(Hübner, 1809)",Stored grain moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",widespread invasive (category E),FALSE,,,,,approx. date of introduction: 1565?,1565,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1877988,https://www.gbif.org/species/1877988,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2021-03-10,2022-05-09,Changed degreeOfEstablishment based on GBIF map; Added scientificNameAuthorship; Updated Source Type,,USRIIS-L48-Animalia13066
L48,Aglossa pinguinalis,"(Linnaeus, 1758)",Pyralid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1949,1949,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1877941,https://www.gbif.org/species/1877941,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14377
L48,Agonopterix alstroemeriana,"Clerck, 1759",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1980-1993,1987,Other name(s): Agonopterix alstroemenana,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Accepted GBIF,,1840346,https://www.gbif.org/species/1840346,US Congress Office of Technology Assessment (1993),https://www.csu.edu/cerc/documents/HarmfulNonIndigenousSpeciesUSA1993.pdf,"US Congress Office of Technology Assessment (1993), https://www.csu.edu/cerc/documents/HarmfulNonIndigenousSpeciesUSA1993.pdf",2012-11-02,2022-08-02,Changed family; Added scientificNameAuthorship; Updated websiteURL; Corrected Scientific Name; Corrected Family; Added providedSciName,Family seems to be in flux,USRIIS-L48-Animalia544
L48,Agonopterix nervosa,"(Haworth, 1811)",Gorse tip moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,unintentional,Introduced Vegetation,Yes,infests: Ulex europaeus,approx. date of introduction: 1915 (Seebens (2021)),1915,,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Accepted GBIF,,1840360,https://www.gbif.org/species/1840360,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2022-08-02,"Changed vernacularName, Added biocontrol, Added associatedTaxa; Added scientificNameAuthorship",,USRIIS-L48-Animalia5649
L48,Agrochola lota,"(Clerck, 1759)",Red-lined quaker moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1976,1976,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,188914,1790084,https://www.gbif.org/species/1790084,Zahini et al. (2017),https://doi.org/10.1371/journal.pone.0178548,"Zahini et al. (2017), https://doi.org/10.1371/journal.pone.0178548",2020-10-15,2020-10-15,,,USRIIS-L48-Animalia12983
L48,Agrotis ipsilon,"(Hufnagel, 1766)",Black cutworm,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1889,1889,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,117352,1771245,https://www.gbif.org/species/1771245,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-01,2021-06-01,,,USRIIS-L48-Animalia13511
L48,Amphipyra tragopoginis,"(Clerck, 1759)",Mouse moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1859,1859,Other name(s): Amphipyra tragopinus,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,188955,1766210,https://www.gbif.org/species/1766210,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2017-07-14,,,USRIIS-L48-Animalia5653
L48,Anacampsis populella,"(Clerck, 1759)",Poplar leafroller,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1963,1963,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Accepted GBIF,,1848273,https://www.gbif.org/species/1848273,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia5654
L48,Anania hortulata,"(Linnaeus, 1758)",Small magpie moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,unintentional,Artificial - Terrestrial; Introduced Vegetation,,"Feed on: common nettle, woundworts, mint, horehounds, and bindweeds (https://birdstudies.net/post/647316294224478208/april-1-2021-small-magpie-anania-hortulata)",approx. date of introduction: 1907 (Aukema and McCullough (2009)),1907,Other name(s): Anania urticata; Botys urticalis; Eurrhypara hortulata; Eurrhypara urticata; Phalaena hortulata; Phalaena urticata; Pyralis urticalis,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Accepted GBIF,,8462369,https://www.gbif.org/species/8462369,Mattson et al. (1994),https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf,"Mattson et al. (1994), https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf",2017-01-26,2022-08-02,"Changed scientificName, scientificNameAuthorship, vernacularName, taxonRemarks, and taxonID as per Jim D. Young (pers. Comm.); Added occurrenceRemarks","Native to: Eurasia; Changed from Eurrhypara hortulata, which GBIF lists as doubtful; added Eurrhypara hortulata as a synonym.",USRIIS-L48-Animalia4973
L48,Anarsia lineatella,"Zeller, 1839",Peach twig borer,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 1620s,1625,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Accepted GBIF,,1847640,https://www.gbif.org/species/1847640,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2017-01-03,2021-10-29,Added scientificNameAuthorship; Updated websiteURL; Updated Introduced or Invasive,,USRIIS-L48-Animalia4728
L48,Anarta trifolii,"(Hufnagel, 1766)",Clover cutworm moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1872,1872,Other name(s): Discestra trifolii,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,937741,4534166,https://www.gbif.org/species/4534166,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-01,2021-08-18,Changed family,,USRIIS-L48-Animalia13541
L48,Anartia lytraea,"Godart, 1819",Nymphalid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1972,1972,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Accepted GBIF,,5128019,https://www.gbif.org/species/5128019,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14411
L48,Anomis argillacea,"Hübner, 1823",Cotton leafworm,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,,1784968,https://www.gbif.org/species/1784968,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14420
L48,Anomis luridula,"Guenée, 1852",Cutworm moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1989,1989,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,937802,1784957,https://www.gbif.org/species/1784957,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-01,2022-07-15,Updated taxonomicStatus,,USRIIS-L48-Animalia13544
L48,Anomis privata,"(Walker, 1865)",Hibiscus-leaf caterpillar moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,unintentional,,,infests: Hibiscus spp.,approx. date of introduction: 1954,1954,Other name(s): Anomis commoda; Diota privata; Rusicada privata,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,937803,1785012,https://www.gbif.org/species/1785012,Roble (2018),https://virginianaturalhistorysociety.com/banisteria/pdf-files/ban51/Banisteria51_Roble3_Digitizing.pdf,"Roble (2018), https://virginianaturalhistorysociety.com/banisteria/pdf-files/ban51/Banisteria51_Roble3_Digitizing.pdf",2020-10-15,2022-08-02,"Added associatedTaxa, Added taxonRemarks",,USRIIS-L48-Animalia12984
L48,Anticarsia gemmatalis,"Hübner, 1818",Cutworm moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1903,1903,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,117365,1777942,https://www.gbif.org/species/1777942,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-01,2022-07-15,Updated taxonomicStatus; Added providedSciName,,USRIIS-L48-Animalia13555
L48,Anypsipyla univitella,"Dyar, 1914",Pyralid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1983,1983,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1870713,https://www.gbif.org/species/1870713,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14426
L48,Apamea unanimis,"(Hubner, 1813)",Small clouded brindle moth,Species,"introduced (alien, exotic, non-native, nonindigenous); introduced: assisted colonization",established (category C3),FALSE,biological control,Introduced Vegetation,Yes,biocontrol for: Phragmites australis,approx. date of introduction: 1991,1991,Other name(s): Noctua unanimis,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Accepted GBIF,937862,1796188,https://www.gbif.org/species/1796188,Crabo and Holden (2020),https://doi.org/10.18473/lepi.74i2.a4,"Crabo and Holden (2020), https://doi.org/10.18473/lepi.74i2.a4",2020-10-14,2022-08-02,"Added associatedTaxa, Added taxonRemarks",Not introduced as a biocontrol species,USRIIS-L48-Animalia12973
L48,Aphomia sociella,"(Linnaeus, 1758)",Pyralid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1870250,https://www.gbif.org/species/1870250,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14447
L48,Aphrissa orbis,"(Poey, 1832)",Orbed sulphur butterfly,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1973,1973,Other name(s): Phoebis orbis,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Accepted GBIF,777756,1920577,https://www.gbif.org/species/1920577,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-01,2022-07-15,Updated taxonomicStatus,,USRIIS-L48-Animalia13562
L48,Apterona crenulella,"(Bruand, 1853)",Bagworm,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1940,1940,,Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,Accepted GBIF,,1853495,https://www.gbif.org/species/1853495,Mattson et al. (1994),https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf,"Mattson et al. (1994), https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf",2017-01-26,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia4932
L48,Apterona helicoidella,"(Vallot, 1827)",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1940,1940,,Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,Accepted GBIF,,4526180,https://www.gbif.org/species/4526180,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia5656
L48,Apterona helix,"Siebold, 1850",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1940,1940,,Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,Accepted GBIF,,1853490,https://www.gbif.org/species/1853490,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2022-02-22,Removed associatedTaxa comment: 'biocontrol for: Chrysomphalus aonidum',,USRIIS-L48-Animalia14463
L48,Archips fuscocupreanus,"Walsingham, 1900",Exotic leafroller moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 1982,1982,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1746806,https://www.gbif.org/species/1746806,Gilligan et al. (2020),https://doi.org/10.3390/insects11090594,"Gilligan et al. (2020), https://doi.org/10.3390/insects11090594",2020-12-02,2022-02-22,Changed degreeOfEstablishment; Added scientificNameAuthorship,,USRIIS-L48-Animalia13018
L48,Archips oporana,"(Linnaeus, 1758)",Sprice tortrix moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,117889,1746775,https://www.gbif.org/species/1746775,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-01,2022-07-15,Updated taxonomicStatus,,USRIIS-L48-Animalia13569
L48,Archips podana,"(Scopoli, 1763)",Tortix moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1937 (Aukema and McCullough (2009)),1937,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1746832,https://www.gbif.org/species/1746832,Washington Invasive Species Council (2011b),https://invasivespecies.wa.gov/wp-content/uploads/2019/07/ExoticLeafrollers-Factsheet.pdf,"Washington Invasive Species Council (2011b), https://invasivespecies.wa.gov/wp-content/uploads/2019/07/ExoticLeafrollers-Factsheet.pdf",2012-06-11,2021-10-29,"Added scientificNameAuthorship; Updated link, to fact sheet",,USRIIS-L48-Animalia42
L48,Archips rosana,"(Linnaeus, 1758)",European leafroller,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,117875,1746856,https://www.gbif.org/species/1746856,Mattson et al. (1994),https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf,"Mattson et al. (1994), https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf",2017-01-26,2017-01-26,,,USRIIS-L48-Animalia4933
L48,Argyresthia conjugella,"Zeller, 1839",Apple fruit moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1896,1896,,Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Accepted GBIF,,1830241,https://www.gbif.org/species/1830241,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia5658
L48,Argyresthia pruniella,"(Clerck, 1759)",Cherry fruit moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 2012 (Seebens (2021)),2012,,Animalia,Arthropoda,Insecta,Lepidoptera,Argyresthiidae,Accepted GBIF,,1830191,https://www.gbif.org/species/1830191,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2022-03-28,Added eventRemarks; Added scientificNameAuthorship,,USRIIS-L48-Animalia5659
L48,Athrips rancidella,"(Herrich-Schäffer, 1854)",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1980-1993,1987,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Accepted GBIF,,5122232,https://www.gbif.org/species/5122232,US Congress Office of Technology Assessment (1993),https://www.csu.edu/cerc/documents/HarmfulNonIndigenousSpeciesUSA1993.pdf,"US Congress Office of Technology Assessment (1993), https://www.csu.edu/cerc/documents/HarmfulNonIndigenousSpeciesUSA1993.pdf",2012-11-02,2021-10-29,Added scientificNameAuthorship; Updated websiteURL,,USRIIS-L48-Animalia550
