species,migratory
Hebomoia glaucippe,1
Heliconius antiochus,1
Heliconius charithonia,
Heliconius cydno,1
Heliconius doris,1
Heliconius ethilla,1
Heliconius hecale,1
Heliconius melpomene,1
Heliconius pachinus,1
Heliconius sara,1
Heliopetes arsalte,1
Heliopetes ericetorum,1
Hermeuptychia hermes,1
Hesperia attalus,1
Hesperia leonardus,1
Hesperia ottoe,1
Hesperia uncas,1
Heteronympha merope,
Hipparchia semele,1
Historis odius,1
Hyalyris antea,1
Hyalyris coeno,1
Hylephila phylaeus,
Hypoleria ocalea,1
Hypolimna anomala,
Hypolimnas bolina,1
Hypolimnas misippus,1
Hypolimnas salmacis,1
Hypothyris euclea,1
Ideopsis similis,1
Inachis io,
Iphiclides podalirius,1
Issoria lathonia,
Ithomia agnosia,1
Ithomia iphianassa,1
Ixias marianne,1
Ixias pyrene,1
Jamides bochus,1
Jamides phaseli,1
Junonia almana,1
Junonia atlites,1
Junonia evarete,
Junonia genoveva,1
Junonia hedonia,
Junonia hierta,1
Junonia iphita,1
Junonia lavinia,1
Junonia lemonias,1
Junonia oenone,1
Junonia orithya,
Junonia vilIida,1
Kallima horsfieldi,1
Kallima inachus,1
Kallima philarchus,1
Kricognia castalia,1
Kricognia lyside,1
Lachnoptera ayresii,1
Lampides boeticus,1
Lasiommata megera,1
Leptotes marina,1
Leptotes pirithous,1
Leptotes plinius,1
Lereme accius,
Lerodea eufala,1
Lethe sidonis,1
Libythea collenettei,1
Libythea geoffroyi,1
Libythea labdaca,1
Libythea laius,1
Libythea lepita,1
Libythea myrrha,1
Libytheana motya,1
Limenitis archippus,
Lobcola bifasciatus,1
Lycaena decidia,1
Lycaena helloides,1
Lycaena hippothoe,1
Lycaena phlaeas,1
Lycaena rubidus,1
Lycorea ceres,1
Lycorea ilione,1
Manataria hercyna,1
Maniola jurtina,1
Marpesia berania,1
Marpesia coresia,1
Marpesia furcula,1
Marpesia marcella,1
Marpesia merops,1
Mechanitis menapis,1
Mechanitis nessaea,1
Melanitis leda,1
Melinaea lilis,1
Melitaea athalia,1
Melitaea cinxia,
Memphis intermedia,1
Memphis philumena,1
Mimoides phaon,1
Moduza procris,1
Morpho achilles,1
Morpho amathonte,1
Mycalesis mineus,1
Mycalesis oculus,1
Mycalesis patnia,1
Mycalesis perseus,1
Mycalesis subdita,1
Mylothris chloris,1
Mylothris rueppellii,1
Myscelia cyananthe,1
Myscelia ethusa,1
Nacaduba atrata,1
Nacaduba beroe,1
Nacaduba kurava,1
Nacaduba vitiensis,1
Nathalis iole,1
Neopithecops zalmora,1
Nepheronia argia,1
Nepheronia thalassina,1
Neptis hylas,1
Neptis jumbah,1
Nymphalis antiopa,
Nymphalis californica,1
Nymphalis canace,1
Nymphalis I-album,1
Nymphalis polychloros,1
Nymphalis vaualbum,1
Nymphalis xanthomelas,1
Oleria makrena,1
Oleria phemonoe,1
Oleria victorine,1
Olyras crathis,1
Pachliopta aristolochiae,1
Pachliopta hector,1
Pagyris cymothoe,1
Panoquina ocola,
Papilio aegeus,
Papilio agestor,1
Papilio anchisiades,1
Papilio astyalus ,1
Papilio cresphontes,1
Papilio crino,1
Papilio dardanus,1
Papilio demodocus,1
Papilio fuscus,1
Papilio helenus,1
Papilio memnon,1
Papilio menatius,1
Papilio paeon,1
Papilio polymnestor,1
Papilio polyxenes,1
Papilio thoas,1
Papilio torquatus,1
Papilio troilus,1
Papilio ulysses,1
Papilio xuthus,1
Parantica aglea,1
Parantica melaneus,
Parantica sita,1
Parantica swinhoei,1
Pararge aegeria,
Pareronia valeria,1
Parides anchises,1
Parides erithalion,1
Parides sesostris,1
Parnassius apollo,
Parnassius mnemosyne,
Parnassius smintheus,
Pelopidas agna,1
Pelopidas mathias,1
Pelopidas thrax,1
Pentila occidentalium,1
Phalanta phalantha,1
Phalantha eurytis,1
Philaethria dido,1
Phoebis neocypris,1
Phoebis philea,1
Pholisora catullus,1
Phyciodes mylitta,1
Phyciodes picta,1
Pieris canidia,1
Pieris melete,1
Pieris napi,1
Pinacopterix eriphia,1
Plebejus acmon,1
Polygonia c-album,1
Polygonia comma,1
Polygonia interrogationis,1
Polygonia progne,1
Polygonus leo,1
Polyommatus coridon,1
Polyommatus icarus,1
Polyommatus semiargus,1
Pontia chloridice,1
Pontia daplidice,
Pontia edusa,1
Pontia glauconome,1
Pontia helice,1
Pontia occidentalis,1
Pontia protodice,1
Prosotas dubiosa,1
Protesilaus protesilaus,1
Protographium agesilaus,1
