new_id,nearest_dist,avg_dist_all,avg_dist_100m,avg_dist_500m,avg_dist_1000m,avg_dist_2000m
115,35.29384006,18519.36989,35.29384006,185.285043,445.797116,1118.950618
116,137.1093701,18928.7806,NA,142.1944992,537.0151024,1143.48887
117,0.009996572,17189.89504,0.009996572,213.4044797,502.422987,1215.171518
118,348.3720828,16883.70738,NA,399.3447724,615.1735132,1191.051322
119,117.2257174,24250.81118,NA,117.2257174,673.7576371,1184.22886
120,484.9051216,18548.4729,NA,484.9051216,513.2125335,1279.716511
121,715.4172144,28221.75686,NA,NA,715.4172144,1282.776665
122,0.009996597,28979.2429,0.009996597,0.009996597,487.0144136,1254.073834
123,196.0851934,18476.38362,NA,196.0851934,458.0095668,1094.890096
124,148.453191,26106.23999,NA,354.0503662,466.5775894,1065.46872
125,148.453191,26779.32251,NA,168.8722728,351.3121576,1162.757146
126,103.9800444,17079.09037,NA,255.5092104,485.4686607,868.4081948
127,59.45310288,16096.8672,59.45310288,102.9557026,419.5629153,1218.964933
128,688.1959064,23460.4445,NA,NA,827.039498,1076.729547
129,614.7418035,30151.42831,NA,NA,618.2078267,1029.054378
130,8.687859313,26115.77103,8.687859313,132.0632353,560.4364164,1096.696365
131,142.1128896,18736.7594,NA,224.2827524,356.7143425,1232.260251
132,0.009996525,16461.49589,0.009996525,210.7846523,428.1530205,1027.185921
133,17.07392046,16314.28828,17.07392046,333.6105857,333.6105857,1045.52829
134,246.1160242,16293.92932,NA,292.0837886,541.4281808,1359.892727
135,8.320262959,24041.89501,8.320262959,172.4374844,401.3736035,942.3380157
136,534.2489094,16552.34429,NA,NA,804.9217297,1138.799113
137,156.6799863,17351.25223,NA,318.7497828,571.3083245,1057.752498
138,165.1691059,16759.4957,NA,165.1691059,453.8993469,1132.981863
139,350.3414599,16387.28104,NA,350.3414599,759.5146579,1423.100014
140,35.41542796,25224.16045,35.41542796,236.8757021,395.79045,984.461743
141,676.9504226,23653.1112,NA,NA,755.4522853,1504.318465
142,139.6213737,19281.39374,NA,261.6401557,441.6767403,794.2219218
143,869.2738274,27329.28594,NA,NA,869.2738274,1350.853689
144,145.9600975,20875.89584,NA,145.9600975,524.9740014,834.8100057
145,322.6682255,19316.94368,NA,322.6682255,584.7536339,1270.541109
146,60.32716437,16714.94691,60.32716437,222.3884627,417.3893446,1181.022163
147,117.2257174,23949.01204,NA,175.4757243,649.3498816,888.6094588
148,1124.013754,29724.32002,NA,NA,NA,1551.422092
149,0.009996534,31952.94075,0.009996534,187.7142362,282.3377772,910.4678676
150,137.3837734,24354.59612,NA,137.3837734,137.3837734,969.1470765
151,183.9989628,18087.78817,NA,190.0420781,398.33398,1259.832345
152,219.1886729,19625.39679,NA,219.1886729,620.6470549,1222.632968
153,275.8263346,18641.23389,NA,305.5512902,518.1987079,839.110403
154,967.6455258,22145.63633,NA,NA,967.6455258,1143.824826
155,20.5520418,25906.72204,20.5520418,20.5520418,20.5520418,933.1606572
156,991.7536309,29872.90522,NA,NA,994.6276468,1598.593426
157,887.0354234,24749.61474,NA,NA,887.0354234,1270.781004
158,233.7257312,24322.90186,NA,252.1035863,528.5479539,1150.497037
159,25.62707093,19652.29832,25.62707093,230.7783937,386.8445338,978.5477283
160,482.741668,18488.87125,NA,482.741668,722.6331213,1111.498375
161,31.04580328,17974.5021,31.04580328,31.04580328,606.5503648,1037.149577
162,1140.375995,19648.8611,NA,NA,NA,1428.093277
163,216.8547835,21258.12459,NA,216.8547835,474.2395313,1149.953152
164,1090.707216,27465.30699,NA,NA,NA,1548.244604
165,602.0821313,18889.85879,NA,NA,833.6751896,1175.016124
166,79.22656315,17874.65155,79.22656315,79.22656315,558.9162727,1214.324211
167,509.3474346,20243.77223,NA,NA,592.3715306,1357.994904
168,118.7964872,22032.86934,NA,239.4211118,321.9877198,1065.582265
169,8.320262959,24987.35452,8.320262959,8.320262959,8.320262959,1223.007227
170,540.3366822,19399.40379,NA,NA,681.6274437,681.6274437
171,353.5194739,34341.11373,NA,370.0138438,518.8835334,1101.156278
172,3.125110296,33802.10734,3.125110296,175.0762735,175.0762735,439.5340366
173,1225.779522,28213.35385,NA,NA,NA,1589.598574
174,407.0383764,17035.19175,NA,407.0383764,721.5078096,1407.964952
175,77.19763705,18301.98233,77.19763705,281.0513793,281.0513793,890.4638339
176,487.2808081,27800.27464,NA,487.2808081,487.2808081,1429.840218
177,173.7478577,22070.39294,NA,336.3736217,515.0688888,1242.962103
178,288.9503656,18670.23039,NA,302.0702534,646.6071315,1129.30408
179,36.01556541,16659.96906,36.01556541,36.01556541,552.55257,1169.223196
180,1090.707216,26761.20342,NA,NA,NA,1548.93237
181,217.9446606,30195.88691,NA,217.9446606,217.9446606,771.7464454
182,608.179448,28342.03829,NA,NA,608.179448,1191.923644
183,35.36794182,20248.39571,35.36794182,89.43890082,281.1485178,994.6193434
184,18.26968278,18044.72269,18.26968278,140.7745717,379.0667744,1070.844255
185,102.8841439,16386.72967,NA,103.4320942,416.3170714,1318.639522
186,82.30652029,16167.31986,82.30652029,134.6357353,481.1332409,993.276101
187,63.14649276,19128.75868,63.14649276,63.14649276,63.14649276,1146.74682
188,81.95419336,19343.2132,81.95419336,81.95419336,524.416457,965.7704184
189,30.09017182,19849.31675,30.09017182,244.8476408,354.5090096,971.7148561
190,0.01,22239.37005,0.01,133.9056657,466.1808031,849.2027413
191,211.2019652,23173.46481,NA,240.9834977,517.1709249,1131.654567
192,352.9619809,16796.06936,NA,352.9619809,679.5106147,1181.570391
193,433.1927529,16906.51487,NA,433.1927529,772.9521381,1311.844939
194,144.3469902,22264.35224,NA,159.047424,432.7164129,1073.659709
195,5.409250059,21542.49969,5.409250059,243.9942718,529.8899051,1119.543588
196,183.9820079,21237.44985,NA,235.1350358,347.6340351,832.1061393
197,83.41522709,20651.85549,83.41522709,189.0614693,386.3181496,771.9585662
198,227.0150167,31774.67205,NA,331.0029256,516.1358074,1104.713417
199,204.1599812,17303.67573,NA,330.8030536,550.080274,1310.219365
200,112.6129805,35027.20873,NA,112.6129805,603.4685111,983.4677817
201,463.7318094,16596.81976,NA,476.4845354,592.7368081,1083.518565
202,40.74103517,17699.41786,62.83010565,116.4479517,401.2834959,1070.861781
203,227.0150167,33300.18586,NA,227.0150167,574.1388898,1435.621413
204,42.54425726,30267.80084,42.54425726,42.54425726,42.54425726,1294.371512
205,69.29658732,18021.97095,69.29658732,69.29658732,429.492824,1105.87179
206,145.4813687,18069.15794,NA,283.9688935,524.3858189,901.5403192
207,60.32716437,17343.20527,69.56004098,80.91521456,80.91521456,1192.557045
208,8.687859313,26946.3145,33.70592507,146.9127908,146.9127908,1157.678703
209,0.009996357,38709.51316,45.64206739,196.5167222,394.9107314,990.0677964
210,51.77151526,18662.38812,51.77151526,51.77151526,295.1307662,1118.652831
211,433.1927529,16734.85876,NA,448.4622811,585.6977755,1384.042988
212,9.693190063,29308.21862,9.693190063,9.693190063,9.693190063,1481.14468
213,129.7952023,19249.82542,NA,263.9211997,650.001589,1196.565648
214,239.3667511,20564.74305,NA,297.4256811,297.4256811,1000.477515
215,39.17123613,20945.95105,39.17123613,139.2689936,415.5253875,1120.440272
216,968.0381753,21730.52938,NA,NA,969.4346621,1519.498845
217,1147.158763,27775.10422,NA,NA,NA,1504.943433
218,229.7183616,21879.67439,NA,373.5382934,373.5382934,1154.416562
219,525.1531263,23938.00146,NA,NA,631.1806479,1196.039073
220,42.54425726,29566.70596,42.54425726,42.54425726,516.4560179,1108.547842
221,51.87228536,21136.86398,51.87228536,233.5394273,583.6556539,1212.871015
222,822.9182051,19411.0737,NA,NA,822.9182051,1146.71424
223,230.2278867,27969.453,NA,316.0209577,536.4175155,1251.039555
224,176.9839372,25955.49505,NA,176.9839372,478.4956675,1098.554326
225,178.9353052,29723.1112,NA,178.9353052,426.1856231,1235.592863
226,483.0572754,23066.10288,NA,483.0572754,667.2333915,915.0101467
227,86.62295828,20268.56888,86.62295828,168.5424493,312.7310684,867.5652999
228,159.1821082,18347.48479,NA,320.9194111,441.8566134,1184.915052
229,82.30652029,16116.81426,82.30652029,114.3824113,114.3824113,1269.494065
230,322.6682255,19823.36701,NA,322.6682255,322.6682255,1446.180218
231,131.0973109,27095.72713,NA,131.0973109,131.0973109,1055.159387
232,90.3312474,36330.77701,90.3312474,189.1833712,305.7748069,822.4754685
233,1040.002933,25840.0562,NA,NA,NA,1593.491971
234,545.8271103,16957.81617,NA,NA,545.8271103,1272.754608
235,618.8321726,18882.52966,NA,NA,625.3293452,1255.366699
236,1349.545258,26240.81319,NA,NA,NA,1520.453009
237,32.92538563,27838.54829,32.92538563,269.736924,269.736924,1174.370159
238,487.2808081,27215.8169,NA,487.2808081,694.9704392,1041.880756
239,242.602733,26900.45955,NA,302.9756186,561.5397733,952.7463147
240,209.5189296,17664.76319,NA,209.5189296,544.8472087,1115.188402
241,17.31990346,21312.44688,17.31990346,136.3021563,257.1046726,900.6282816
242,1106.017999,30319.82471,NA,NA,NA,1477.446487
243,229.7183616,22090.28542,NA,292.0167475,364.5583163,930.4274359
244,119.2503235,18416.02631,NA,119.2503235,119.2503235,1248.268363
245,808.628976,27852.8073,NA,NA,808.628976,1224.520998
246,155.9071541,27618.99022,NA,155.9071541,575.3236004,1210.026296
247,657.3953514,25955.80452,NA,NA,737.6311079,1390.415662
248,63.14649276,18115.56391,69.7774737,69.7774737,224.0369973,672.7829931
249,50.59938813,18361.63443,50.59938813,50.59938813,422.8087561,1127.590902
250,146.9199346,19519.0175,NA,149.1769055,391.4669646,1260.76064
251,124.7385768,16953.90737,NA,124.7385768,535.8708167,1150.880522
252,124.7385768,17036.72191,NA,299.4911217,511.3723795,1131.594281
