id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
43036512,Fri Apr 24 2020 00:00:06 GMT-0700 (PDT),2020-04-24,2020-04-24 07:00:06 UTC,Pacific Time (US & Canada),907908,samatha,,2020-04-24 07:00:14 UTC,2021-04-05 13:32:52 UTC,needs_id,,https://www.inaturalist.org/observations/43036512,https://static.inaturalist.org/photos/68334872/medium.jpg,,"",,0,0,false,3,"New York Dr, Altadena, CA, US",34.1794278659,-118.1344069262,10,,,,10,,,false,,,Altadena,Los Angeles,California,United States,,Lepidoptera,Butterflies and Moths,Insecta,47157
43036525,Fri Apr 24 2020 00:00:04 GMT-0700 (PDT),2020-04-24,2020-04-24 07:00:04 UTC,Pacific Time (US & Canada),2556338,charlesjaeckerjones,Charles Jaecker-Jones,2020-04-24 07:00:26 UTC,2021-04-05 13:32:49 UTC,needs_id,,https://www.inaturalist.org/observations/43036525,https://static.inaturalist.org/photos/68334800/medium.jpg,,"",,2,0,false,3,"Los Angeles County, US-CA, US",34.0345882795,-118.0827151085,36,,,,28874,obscured,,true,,,,Los Angeles,California,United States,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157
43037909,Fri Apr 24 2020 00:09:42 GMT-0700 (PDT),2020-04-24,2020-04-24 07:09:42 UTC,Pacific Time (US & Canada),74669,amyjaecker-jones,Amy Jaecker-Jones,2020-04-24 07:21:20 UTC,2022-02-19 21:35:21 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/43037909,https://inaturalist-open-data.s3.amazonaws.com/photos/68336959/medium.jpg,,"",,2,0,false,3,"Los Angeles County, US-CA, US",34.0932700292,-118.1520047711,5,,,,28874,obscured,,true,,,,Los Angeles,California,United States,Knot-horn Moths,Phycitinae,Knot-horn Moths,Insecta,122925
43037924,Fri Apr 24 2020 00:16:20 GMT-0700 (PDT),2020-04-24,2020-04-24 07:16:20 UTC,Pacific Time (US & Canada),146517,maiz,"",2020-04-24 07:21:27 UTC,2020-04-26 01:14:02 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/43037924,https://inaturalist-open-data.s3.amazonaws.com/photos/68336972/medium.jpg,,"",,1,0,false,3,"Los Angeles County, US-CA, US",34.1065086739,-118.2731948168,,,,,28874,obscured,,true,,,,Los Angeles,California,United States,Platyptiliini,Platyptiliini,,Insecta,211061
43038222,Fri Apr 24 2020 00:13:20 GMT-0700 (PDT),2020-04-24,2020-04-24 07:13:20 UTC,Pacific Time (US & Canada),146517,maiz,"",2020-04-24 07:25:12 UTC,2023-07-04 19:37:43 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/43038222,https://inaturalist-open-data.s3.amazonaws.com/photos/68337347/medium.jpg,,"",,1,0,false,3,"Los Angeles County, US-CA, US",34.0274765216,-118.2514733454,,,,,28874,obscured,,true,,,,Los Angeles,California,United States,Pyralid and Crambid Snout Moths,Pyraloidea,Pyralid and Crambid Snout Moths,Insecta,49682
43052534,2020/04/24 1:55 AM PDT,2020-04-24,2020-04-24 08:55:00 UTC,Pacific Time (US & Canada),35725,yetikat,Kat Halsey,2020-04-24 10:45:59 UTC,2023-04-05 19:55:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43052534,https://inaturalist-open-data.s3.amazonaws.com/photos/68354109/medium.jpeg,,"",,2,0,false,,"Elysian Park, Los Angeles, CA, USA",34.078155623,-118.2342546357,4,,,,4,,,false,,,,Los Angeles,California,United States,Digrammia imparilata,Digrammia imparilata,,Insecta,362104
43052541,2020/04/24 1:51 AM PDT,2020-04-24,2020-04-24 08:51:00 UTC,Pacific Time (US & Canada),35725,yetikat,Kat Halsey,2020-04-24 10:46:02 UTC,2023-04-05 19:55:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43052541,https://inaturalist-open-data.s3.amazonaws.com/photos/68354242/medium.jpg,,"",,1,0,false,,"Elysian Park, Los Angeles, CA, USA",34.0781111909,-118.2342144025,4,,,,4,,,false,,,,Los Angeles,California,United States,Lucerne Moth,Nomophila nearctica,Lucerne Moth,Insecta,58750
43052546,2020/04/24 1:49 AM PDT,2020-04-24,2020-04-24 08:49:00 UTC,Pacific Time (US & Canada),35725,yetikat,Kat Halsey,2020-04-24 10:46:05 UTC,2023-04-05 19:55:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/43052546,https://inaturalist-open-data.s3.amazonaws.com/photos/68354455/medium.jpeg,,"",,1,0,false,,"Elysian Park, Los Angeles, CA, USA",34.0779916667,-118.2342316667,,,,,,,,false,,,,Los Angeles,California,United States,Platynota,Platynota,,Insecta,146798
43052548,2020/04/24 1:47 AM PDT,2020-04-24,2020-04-24 08:47:00 UTC,Pacific Time (US & Canada),35725,yetikat,Kat Halsey,2020-04-24 10:46:06 UTC,2020-04-24 10:46:06 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/43052548,https://inaturalist-open-data.s3.amazonaws.com/photos/68354512/medium.jpeg,,"",,0,0,false,,"Elysian Park, Los Angeles, CA, USA",34.0779383333,-118.2340116667,,,,,,,,false,,,,Los Angeles,California,United States,Feltia,Feltia,,Insecta,119551
43052551,2020/04/24 1:56 AM PDT,2020-04-24,2020-04-24 08:56:00 UTC,Pacific Time (US & Canada),35725,yetikat,Kat Halsey,2020-04-24 10:46:08 UTC,2020-04-24 18:17:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43052551,https://inaturalist-open-data.s3.amazonaws.com/photos/68354537/medium.jpg,,"",,1,0,false,,"Elysian Park, Los Angeles, CA, USA",34.0782583333,-118.2343683333,,,,,,,,false,,,,Los Angeles,California,United States,Meal moth,Pyralis farinalis,Meal moth,Insecta,199870
