"","city","mean_park_size_sqm","median_park_size_sqm","mean_log_park_size","median_log_park_size","mean_isolation","IIC","percent_grass_shrub","percent_tree","percent_semi_natural","total_area_sqm","latitude","longitude","city_factor","log_IIC","mean_connectivity","log_park_size_scaled","log_IIC_scaled","connectivity_scaled","percent_tree_scaled","percent_grassshrub_scaled","log_total_area","log_total_area_scaled","latitude_scaled","longitude_scaled"
"1","Atlanta",43205.69704,3756.646495,8.19076104,8.231253017,0.046355757,0.000924065,0.0668326484788928,0.315651651055543,0.382484299534436,640793100,33.75,-84.3885,1,-6.98672814247643,-0.046355757,-0.665963594719068,-0.13556920810421,0.364840518006303,1.90109896889985,-0.443345557016916,20.2782171858702,-0.46079974545348,-0.688410539590043,0.560341865169321
"2","Boston",18815.94884,1366.898427,7.403170846,7.22029953,0.008440194,0.002574851,0.0464771909156358,0.0945936143290355,0.141070805244671,366696000,42.3,-71.0565,2,-5.9619636106183,-0.008440194,-1.63353020359636,0.540775461561076,1.0879201215529,-0.600247228914454,-0.651833388747061,19.7200437248828,-0.928948350288777,1.19892399614654,1.39810739643191
"3","Charlotte",83834.13396,15785.22467,9.644102812,9.666829634,0.080399328,0.000304801,0.0952495162355565,0.290960651742567,0.386210167978124,1408433400,35.2,-80.8409,3,-8.09585145331727,-0.080399328,0.708002682617902,-0.86759067837165,-0.284397153131286,1.62171198905365,-0.152289896649775,21.0657438598177,0.199710901231391,-0.368336261599627,0.783268432729114
"4","Chicago",24394.24675,1979.891285,7.734886213,7.590797216,0.021653176,0.000308838,0.0453087648560961,0.0904965578769561,0.135805322733052,1444137800,41.8,-87.6324,4,-8.08269369038972,-0.021653176,-1.27893308884314,-0.858906553829764,0.83593816400612,-0.646606803668655,-0.663800823767051,21.0907783022268,0.220707670346724,1.08855355546019,0.356499410409139
"5","Dallas",187638.0139,25794.3696,10.15409003,10.15791151,0.108596297,0.000357187,0.100270842716778,0.158897000355876,0.259167843072654,2301926400,32.7,-96.79699,5,-7.93725110380115,-0.108596297,1.17800890105673,-0.762914435520252,-0.822135526308964,0.127367258785982,-0.100859685993698,21.5570121745369,0.611745138274352,-0.920188465031377,-0.219391499443385
"6","DC",36863.83014,1156.718613,7.400161408,7.053342494,0.011862201,0.012008383,0.0552384730949639,0.179487427929752,0.234725901024716,392186800,38.9,-77.036,6,-4.42215028975656,-0.011862201,-1.79332197960585,1.55705237149283,1.02265975696611,0.360354887220435,-0.562097222460077,19.7872488148623,-0.872582415125732,0.448404999479362,1.02236339746817
"7","Denton",722793.8936,20512.6083,9.851499833,9.928795015,0.157707762,8.51e-06,0.489965715732761,0.194723479433371,0.684689195166132,35697182077,33.2,-97.133064,7,-11.674268615379,-0.157707762,0.958725350472368,-3.22934627993484,-1.75872978555266,0.532755945615024,3.89053372085913,24.2983375891992,2.91093662259091,-0.809818024345027,-0.240509952275184
"8","Denver",53636.76743,20674.46972,9.896440153,9.936654871,0.047808542,0.000302122,0.0710515314960397,0.0505706700897839,0.121622201585824,1453957400,39.7,-104.9847,8,-8.1046796486548,-0.047808542,0.96624788668593,-0.873417287971883,0.337134765573233,-1.0983816818395,-0.400134257549209,21.0975549171416,0.226391320752174,0.624997704577523,-0.733896541295625
"9","Des_moines",117837.3579,9385.099539,9.41554303,9.146878555,0.043002631,0.003557327,0.159635503612471,0.245453721832705,0.405089225445177,357622200,41.6,-93.598022,9,-5.63874585883838,-0.043002631,0.21036623469088,0.754099202539073,0.428787267754468,1.10678573805711,0.507174272126673,19.6949876798736,-0.949963237834633,1.04440537918565,-0.0183725130938473
"10","Detroit",48480.23781,7608.75603,8.945682117,8.937054972,0.067301404,0.000500072,0.0934818595521525,0.182079957080801,0.275561816632954,657607800,42.3,-83.045753,10,-7.60075846990909,-0.067301404,0.00954760626095267,-0.540829271329545,-0.0346094421271395,0.389690228430955,-0.170394864716492,20.3041192629498,-0.439075277891567,1.19892399614654,0.644718339352207
